stem,dom_nodes,nesting_depth,layout_element_count,img_count,structural_ratio,img_height,score,tier,dom_nodes_norm,nesting_depth_norm,layout_element_count_norm,img_count_norm,structural_ratio_norm,img_height_norm
69,119,11,46,2,0.8213304470901673,2414,0.1665273500119916,low,0.007225964482547458,0.03816793893129771,0.004677648972950987,0.001697792869269949,0.812225643771286,0.13516911104459742
60,143,10,79,12,0.8724000000000001,1638,0.16931341769443412,low,0.008695652173913044,0.03435114503816794,0.008033353670937564,0.010186757215619695,0.8658976447605735,0.088715953307393
203,434,12,77,2,0.8567866408079994,1806,0.17104826454502386,low,0.02651561543172076,0.04198473282442748,0.007829977628635347,0.001697792869269949,0.8494886460078585,0.09877282250823106
83,81,8,46,8,0.9419492277649565,995,0.17205014080177047,low,0.004898958971218616,0.026717557251908396,0.004677648972950987,0.006791171477079796,0.9389910244499463,0.05022448368751871
15,1,1,0,0,1.0,995,0.1750374139479198,low,0.0,0.0,0.0,0.0,1.0,0.05022448368751871
104,213,11,89,14,0.8296986518636003,2946,0.17668685178582685,low,0.012982241273729333,0.03816793893129771,0.009050233882448647,0.011884550084889643,0.8210202830286777,0.16701586351391798
12,106,17,64,7,0.9316872427983539,1530,0.18173430291543588,low,0.006429883649724434,0.061068702290076333,0.006508033353670938,0.005942275042444821,0.9282061000498445,0.08225082310685423
44,160,18,83,5,0.9748204049053044,1126,0.1864850821257675,low,0.009736680955296999,0.0648854961832061,0.008440105755541997,0.004244482173174873,0.9735372805158794,0.05806644717150554
1,330,16,194,21,0.7786129627003262,4724,0.19262259407552126,low,0.020146968769136558,0.05725190839694656,0.01972747610331503,0.017826825127334467,0.767331323500274,0.27345106255612095
99,340,9,176,31,0.8676510187595369,3880,0.19655674982366408,low,0.020759338640538885,0.030534351145038167,0.017897091722595078,0.02631578947368421,0.8609066606748841,0.22292726728524395
138,531,18,250,8,0.8820828606924863,3673,0.20269399620316705,low,0.032455603184323334,0.0648854961832061,0.0254220052877771,0.006791171477079796,0.8760739333524048,0.21053576773421132
201,949,22,518,28,0.9806045256106909,995,0.20741491133499323,low,0.0580526638089406,0.08015267175572519,0.05267439495627415,0.023769100169779286,0.9796161536317215,0.05022448368751871
100,385,12,114,0,0.9627379926931416,3610,0.2074492956645614,medium,0.02351500306184936,0.04198473282442748,0.011592434411226357,0.0,0.9608391619059684,0.20676444178389702
133,858,12,440,7,0.7147815473806663,6946,0.2086436825039908,medium,0.05248009797917942,0.04198473282442748,0.0447427293064877,0.005942275042444821,0.7002471296708666,0.40646513020053876
146,631,17,322,43,0.8623454609678559,4107,0.2101234740615003,medium,0.0385793018983466,0.061068702290076333,0.0327435428106569,0.0365025466893039,0.8553307375109084,0.23651601316970966
182,456,56,166,2,0.9661716318363717,995,0.2118394594751619,medium,0.02786282914880588,0.2099236641221374,0.016880211511083994,0.001697792869269949,0.9644477755121552,0.05022448368751871
162,1,1,0,0,1.0,4883,0.21382819515115234,medium,0.0,0.0,0.0,0.0,1.0,0.2829691709069141
92,426,13,227,50,0.9256505576208178,4099,0.2158756925794181,medium,0.0260257195345989,0.04580152671755725,0.023083180801301607,0.042444821731748725,0.9218617920549658,0.23603711463633642
209,560,13,197,13,0.9508048143851509,4125,0.21616543553518833,medium,0.03423147581139008,0.04580152671755725,0.020032540166768354,0.011035653650254669,0.9482978819953602,0.23759353486979945
80,245,16,87,21,0.9806257968017507,3943,0.2175340863735692,medium,0.014941824862216778,0.05725190839694656,0.008846857840146431,0.017826825127334467,0.9796385087792127,0.22669859323555822
34,386,14,196,3,0.9435124354763023,4837,0.21942024965850723,medium,0.02357624004898959,0.04961832061068702,0.019930852145617246,0.0025466893039049238,0.9406338915018264,0.28021550434001796
28,287,29,153,9,0.9187515689063677,4464,0.2200134068642063,medium,0.017513778322106554,0.10687022900763359,0.015558267236119585,0.007640067911714771,0.9146112384861728,0.2578868602214906
110,259,24,170,25,0.9678840839495108,3867,0.2217485543583578,medium,0.015799142682180037,0.08778625954198473,0.017286963595688428,0.021222410865874362,0.9662474922959067,0.2221490571685124
211,510,20,301,27,0.8908451558142355,5178,0.2238547180363418,medium,0.031169626454378443,0.07251908396946564,0.030608094366483627,0.022920203735144314,0.8852827453675263,0.30062855432505237
200,686,13,205,26,0.9713590162399476,4434,0.22610945142816233,medium,0.0419473361910594,0.04580152671755725,0.020846044335977223,0.022071307300509338,0.9698995033025298,0.2560909907213409
7,395,15,228,19,0.9174863012128298,5675,0.22675633472919823,medium,0.024127372933251685,0.05343511450381679,0.023184868822452714,0.016129032258064516,0.9132814941467388,0.330380125710865
234,579,22,299,8,0.927715545841302,4923,0.22702320224916953,medium,0.0353949785670545,0.08015267175572519,0.03040471832418141,0.006791171477079796,0.9240320097971962,0.2853636635737803
202,965,29,370,38,0.7707942174436521,6563,0.22973955391310616,medium,0.059032455603184326,0.10687022900763359,0.03762456782591011,0.03225806451612903,0.7591141436104849,0.38353786291529485
223,780,25,389,47,0.9625766113220925,3624,0.23117225166809294,medium,0.047703612982241274,0.0916030534351145,0.039556640227781166,0.039898132427843805,0.9606695567182768,0.20760251421730022
156,418,24,263,8,0.9782327109594667,4748,0.23314473938297278,medium,0.025535823637477036,0.08778625954198473,0.02674394956274151,0.006791171477079796,0.9771234739223129,0.27488775815624067
142,753,15,277,25,0.9766283077116038,4838,0.23409800004491865,medium,0.04605021432945499,0.05343511450381679,0.028167581858857028,0.021222410865874362,0.9754373120548192,0.2802753666566896
210,653,15,270,44,0.9419740777667,5464,0.235822526104583,medium,0.03992651561543172,0.05343511450381679,0.027455765710799267,0.03735144312393888,0.9390171407803657,0.31774917689314575
226,815,16,336,49,0.9650927500326991,4780,0.2371631972841067,medium,0.04984690753214942,0.05725190839694656,0.034167175106772425,0.04159592529711375,0.9633139150819244,0.27680335228973363
233,583,19,283,37,0.9386699507389162,5734,0.23899762268964334,medium,0.035639926515615435,0.06870229007633588,0.028777709985763678,0.031409168081494056,0.9355446390841584,0.33391200239449265
228,438,13,189,8,0.9634411384217335,6499,0.23997618523100148,medium,0.02676056338028169,0.04580152671755725,0.01921903599755949,0.006791171477079796,0.9615781391652217,0.3797066746483089
213,556,9,228,16,0.9457211889644322,6999,0.24231352073329412,medium,0.03398652786282915,0.030534351145038167,0.023184868822452714,0.013582342954159592,0.9429552006311488,0.4096378329841365
296,1104,20,424,61,0.952448108501429,4775,0.24358180692322376,medium,0.06754439681567667,0.07251908396946564,0.04311572096806996,0.05178268251273345,0.9500249165670217,0.27650404070637535
235,573,22,222,11,0.8771768847608704,7694,0.24487548787444904,medium,0.03502755664421311,0.08015267175572519,0.022574740695546065,0.00933786078098472,0.8709179542992885,0.45124214307093685
141,787,19,431,48,0.8766209494235027,6936,0.24626822068189838,medium,0.048132271892222904,0.06870229007633588,0.04382753711612772,0.04074702886247878,0.8703336891104027,0.4058665070338222
217,906,34,515,38,0.9239913626548472,5065,0.2466638710215251,medium,0.055419473361910596,0.12595419847328243,0.05236933089282082,0.03225806451612903,0.9201180463438524,0.29386411254115535
160,625,18,280,110,0.9704382450614816,5161,0.24891522257884188,medium,0.03821187997550521,0.0648854961832061,0.02847264592231035,0.0933786078098472,0.968931810640548,0.29961089494163423
140,909,28,570,23,0.9494609360595445,5525,0.2507382848022423,medium,0.05560318432333129,0.10305343511450382,0.057962172056131786,0.019524617996604415,0.946885521112766,0.32140077821011676
135,660,15,221,19,0.9513954987871903,7290,0.2513948013533664,medium,0.04035517452541335,0.05343511450381679,0.022473052674394957,0.016129032258064516,0.9489186670229205,0.42705776713558813
174,833,29,304,22,0.9641889858561541,6116,0.2544252976238665,medium,0.050949173300673604,0.10687022900763359,0.030913158429936954,0.01867572156196944,0.9623640960799205,0.35677940736306496
39,405,12,187,12,0.9403105232892467,8623,0.25667499024345614,medium,0.024739742804654012,0.04198473282442748,0.01901565995525727,0.010186757215619695,0.9372688134018737,0.5068542352589045
181,489,18,186,15,0.9047689992699751,8798,0.2572771395939244,medium,0.029883649724433557,0.0648854961832061,0.018913971934106162,0.012733446519524618,0.8999161325258316,0.5173301406764442
190,755,25,227,38,0.9665916050088763,6673,0.2580214758099499,medium,0.04617268830373546,0.0916030534351145,0.023083180801301607,0.03225806451612903,0.9648891500542418,0.3901227177491769
143,903,27,506,24,0.9865370541254336,5916,0.2594929996732447,medium,0.0552357624004899,0.09923664122137404,0.05145413870246085,0.02037351443123939,0.9858509972551702,0.3448069440287339
265,1614,20,642,119,0.9660579894271041,4563,0.2609563835183823,medium,0.09877526025719535,0.07251908396946564,0.0652837095790116,0.10101867572156197,0.9643283420110748,0.26381322957198444
331,1639,31,362,33,0.9439229463974939,6037,0.26212504228032757,high,0.10030618493570116,0.11450381679389313,0.03681106365670124,0.02801358234295416,0.9410653216067113,0.3520502843460042
310,1307,37,695,30,0.9890791556645192,6052,0.2758318356128933,high,0.0799755052051439,0.13740458015267176,0.07067317470002034,0.025466893039049237,0.9885226414843956,0.35294821909607904
239,1048,25,517,39,0.9579659626819766,9442,0.2921838789965773,high,0.06411512553582364,0.0916030534351145,0.052572706935123045,0.03310696095076401,0.9558239545096483,0.5558814726129901
