stem,dom_nodes,nesting_depth,layout_element_count,img_count,structural_ratio,img_height,score,dom_nodes_norm,nesting_depth_norm,layout_element_count_norm,img_count_norm,structural_ratio_norm,img_height_norm
26,387,15,190,8,0.9135416666666667,2871,0.1958077536958109,0.023637477036129822,0.05343511450381679,0.019320724018710596,0.006791171477079796,0.9091358453755846,0.16252618976354385
27,219,8,111,10,0.9044653504703856,2293,0.18122772266471845,0.013349663196570728,0.026717557251908396,0.011287370347773032,0.008488964346349746,0.8995970101183819,0.12792577072732714
28,287,29,153,9,0.9187515689063677,4464,0.2200134068642063,0.017513778322106554,0.10687022900763359,0.015558267236119585,0.007640067911714771,0.9146112384861728,0.2578868602214906
30,348,11,171,13,0.896948608137045,4434,0.2059382820575236,0.021249234537660748,0.03816793893129771,0.017388651616839536,0.011035653650254669,0.8916972228877481,0.2560909907213409
32,189,67,76,6,0.9706438579902003,995,0.21593583396817265,0.011512553582363748,0.25190839694656486,0.007728289607484238,0.0050933786078098476,0.9691479013772946,0.05022448368751871
33,238,65,60,42,0.8588580431357635,5968,0.250021382640856,0.01451316595223515,0.24427480916030533,0.006101281269066504,0.035653650254668934,0.8516656047132002,0.34791978449565997
34,386,14,196,3,0.9435124354763023,4837,0.21942024965850723,0.02357624004898959,0.04961832061068702,0.019930852145617246,0.0025466893039049238,0.9406338915018264,0.28021550434001796
35,108,21,27,2,0.6457990115321253,2866,0.14621796716666088,0.006552357624004899,0.07633587786259542,0.002745576571079927,0.001697792869269949,0.6277493198928294,0.16222687818018558
36,289,18,113,8,0.9308037471463434,3811,0.20781300270261238,0.017636252296387017,0.0648854961832061,0.01149074639007525,0.006791171477079796,0.9272775824340264,0.21879676743489973
39,405,12,187,12,0.9403105232892467,8623,0.25667499024345614,0.024739742804654012,0.04198473282442748,0.01901565995525727,0.010186757215619695,0.9372688134018737,0.5068542352589045
40,114,11,54,1,0.8921729611384783,995,0.164721744321466,0.006919779546846295,0.03816793893129771,0.005491153142159854,0.0008488964346349745,0.8866782141863383,0.05022448368751871
42,384,24,223,8,0.9776839157048314,1887,0.20347933477266752,0.023453766074709125,0.08778625954198473,0.022676428716697172,0.006791171477079796,0.976546712666899,0.10362167015863515
43,24,7,17,0,0.8083394294074616,995,0.1458058353780772,0.0014084507042253522,0.022900763358778626,0.0017286963595688429,0.0,0.7985726181583717,0.05022448368751871
44,160,18,83,5,0.9748204049053044,1126,0.1864850821257675,0.009736680955296999,0.0648854961832061,0.008440105755541997,0.004244482173174873,0.9735372805158794,0.05806644717150554
